@relation labeled_data_noextras-random.arff

@attribute post_count numeric
@attribute follower_count numeric
@attribute following_count numeric
@attribute anonymous_pic numeric
@attribute is_private numeric
@attribute is_business numeric
@attribute is_verified numeric
@attribute following_tags_count numeric
@attribute usertags_count numeric
@attribute has_highlight_reels numeric
@attribute class {'authentic','poor'}
@data
3,997,435,0,0,1,0,0,0,0,'poor'
2,723,600,0,0,1,0,0,0,0,'poor'
11,3193,962,0,0,1,0,0,0,0,'poor'
0,225,298,0,0,1,0,0,0,0,'poor'
1,4,50,0,0,1,0,0,0,0,'poor'
17,77,143,0,0,1,0,0,0,0,'poor'
247,10960,1639,0,0,1,0,0,15,0,'authentic'
26,2939,1319,0,0,1,0,0,0,0,'poor'
168,515,1343,0,0,1,0,14,36,0,'poor'
38,3121,401,0,0,1,0,0,13,0,'poor'
134,2420,1621,0,0,1,0,0,11,0,'poor'
401,4150,144,0,0,1,0,0,118,0,'poor'
812,2982,1038,0,0,1,0,28,744,0,'authentic'
124,9742,7149,0,0,1,0,0,17,0,'authentic'
38,3564,397,0,0,1,0,0,48,0,'poor'
8,910,483,0,0,1,0,10,4,0,'poor'
106,449,480,0,0,1,0,5,0,0,'poor'
184,22571,2629,0,0,1,0,2,57,0,'authentic'
5,1739,791,0,0,1,0,3,8,0,'poor'
9,4452,181,0,0,1,0,0,37,0,'poor'
2,185,263,0,0,1,0,0,6,0,'poor'
19,431,929,0,0,1,0,1,6,0,'poor'
0,1,12,0,0,1,0,0,0,0,'poor'
49,2575,300,0,0,1,0,0,0,0,'poor'
3,2447,268,0,0,1,0,0,4,0,'poor'
43,6316,1245,0,0,1,0,0,16,0,'authentic'
7,898,1020,0,0,1,0,0,5,0,'poor'
309,1591,1518,0,0,1,0,0,26,0,'poor'
3,277,83,0,0,1,0,0,2,0,'poor'
452,5176,281,0,0,1,0,1,116,0,'poor'
226,11423,4618,0,0,1,0,52,91,0,'authentic'
1,1,7,0,0,1,0,0,0,0,'poor'
0,9,55,1,0,1,0,0,0,0,'authentic'
165,4716,2808,0,0,1,0,3,27,0,'poor'
10,1063,374,0,0,1,0,4,8,0,'poor'
133,4043,7435,0,0,1,0,0,5,0,'poor'
3,1265,87,0,0,1,0,0,13,0,'poor'
6,549,522,0,0,1,0,0,115,0,'poor'
24,164,255,0,0,1,0,5,3,0,'poor'
207,981,476,0,0,1,0,0,0,0,'poor'
21,4819,173,0,0,1,0,2,25,0,'poor'
33,489,7048,0,0,1,0,0,2,0,'poor'
0,2246,205,0,0,1,0,0,0,0,'poor'
30,10295,1066,0,0,1,0,0,0,0,'authentic'
12,822,816,0,0,1,0,0,90,0,'poor'
2,1676,386,0,0,1,0,0,0,0,'poor'
42,1642,873,0,0,1,0,7,6,0,'poor'
3,758,563,0,0,1,0,0,0,0,'poor'
122,6954,2220,0,0,1,0,3,20,0,'authentic'
8,1033,1054,0,0,1,0,0,3,0,'poor'
77,1675,995,0,0,1,0,13,5,0,'poor'
16,609,303,0,0,1,0,1,3,0,'poor'
29,647,1874,0,0,1,0,1,2,0,'poor'
14,1009,293,0,0,1,0,0,11,0,'poor'
10,279,425,0,0,1,0,2,2,0,'poor'
162,886,1255,0,0,1,0,1,10,0,'poor'
65,2466,1881,0,0,1,0,0,4,0,'poor'
33,1015,439,0,0,1,0,0,15,0,'poor'
5,590,318,0,0,1,0,3,14,0,'poor'
3,1206,477,0,0,1,0,0,85,0,'poor'
266,1948,3855,0,0,1,0,1,22,0,'poor'
134,3265,946,0,0,1,0,0,8,0,'poor'
66,1006,557,0,0,1,0,0,9,0,'poor'
